feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000114,127950_3..N01R,3,0,,20260512,0,19,1,231N,1778636937,2026-05-12 18:48:57,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000116,128400_3..S01R,3,0,,20260512,0,12,2,137S,1778636960,2026-05-12 18:49:20,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000118,128600_3..N01R,3,0,,20260512,0,15,1,235N,1778636920,2026-05-12 18:48:40,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000120,129600_3..S01R,3,0,,20260512,0,7,1,120S,1778636948,2026-05-12 18:49:08,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000122,129600_3..N01R,3,0,,20260512,0,9,0,249N,1778636970,2026-05-12 18:49:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000124,130600_3..N01R,3,0,,20260512,0,4,1,254N,1778636941,2026-05-12 18:49:01,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000126,130800_3..S01R,3,0,,20260512,0,2,2,302S,1778636957,2026-05-12 18:49:17,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000132,124000_4..S06R,4,0,,20260512,0,28,2,250S,1778636964,2026-05-12 18:49:24,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000134,124750_4..N06R,4,0,,20260512,0,28,2,401N,1778636963,2026-05-12 18:49:23,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000136,124850_4..S05R,4,0,,20260512,0,28,1,237S,1778636963,2026-05-12 18:49:23,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000138,125150_4..N06R,4,0,,20260512,0,25,1,406N,1778636971,2026-05-12 18:49:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000140,125550_4..N06R,4,0,,20260512,0,22,1,409N,1778636966,2026-05-12 18:49:26,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000142,125700_4..S05R,4,0,,20260512,0,25,0,234S,1778636968,2026-05-12 18:49:28,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000144,126100_4..N06R,4,0,,20260512,0,18,1,413N,1778636952,2026-05-12 18:49:12,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000146,126600_4..S05R,4,0,,20260512,0,20,2,640S,1778636960,2026-05-12 18:49:20,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000148,126900_4..N06R,4,0,,20260512,0,15,1,416N,1778636960,2026-05-12 18:49:20,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000150,127350_4..N06R,4,0,,20260512,0,14,2,621N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000152,127700_4..S05R,4,0,,20260512,0,14,2,416S,1778636971,2026-05-12 18:49:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000154,128300_4..N06R,4,0,,20260512,0,11,1,631N,1778636913,2026-05-12 18:48:33,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000156,128700_4..S05R,4,0,,20260512,0,13,2,415S,1778636956,2026-05-12 18:49:16,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000158,129300_4..N06R,4,0,,20260512,0,9,2,640N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000160,129700_4..S05R,4,0,,20260512,0,9,1,411S,1778636960,2026-05-12 18:49:20,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000162,130300_4..N06R,4,0,,20260512,0,3,1,235N,1778636934,2026-05-12 18:48:54,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000164,130600_4..S05R,4,0,,20260512,0,3,1,405S,1778636932,2026-05-12 18:48:52,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000166,131300_4..N06R,4,0,,20260512,0,1,1,250N,1778636604,2026-05-12 18:43:24,,,0.0,0.0,0.0,0.0,0.0,0,0
